Rating,Title,Comment
1,Worst,"Worst! I booked for a flight thru their app, didnt accepted my cards so i chose dragonpay, but when i funded my dragonpay it says &quot;amount is too big to be unverified&quot; i tried all the mode of payments but in the last step where you will slide something.. it will error.  I tried multiple times, the airfare price continually increased and i have not booked for my fare yet. WASTED MY TIME &#128078;&#127998;"
1,most  worst air service I ever&#8230;,"most  worst air service I ever experience till now is air Asia ,,those female helpers have so much ego as they hired us and the way they deal with lagguage quite disguise us about their services .i would recommend spice jet ,far better than air Asia .They don&#8217;t even offer water in flight even if you are dying until you ask ,implies they have no sense of duty.It should be preferred when somebody is going to hell only .Most disgusting service they have ."
1,I booked a flight with my wife last&#8230;,"I booked a flight with my wife last night leaving today at 11:25 am, these tickets were not the cheapest. They charged up for the more expensive tickets and then sent me the flight details for 10:25 pm arriving after midnight, I called as soon as I had cell service as I am in Thailand and they pretty much said you have to pay for an entire other ticket, the manager can not help and they can have the IT department look at the website in 7-10 days but too bad for you! I have a lot more flights to take and I will not fly Air Asia again as well as all the people who follow my blog will know what type of customer service they offer!"
1,Nothing good to say about this company,Nothing good to say about this company
1,Terrible customer service and dishonest website,"The options to contact customer service outside of Asia are rubbish. It&#39;s either through social media, where you hardly get a useful reply, or through some online chat which never connects. The main problem I have is when booking online, it preselects various options for you, and if your not careful, you end up getting tricked into paying extra for some service you don&#39;t need, in my case double the amount of extra luggage. When I asked if they could take the 2 lots of extra luggage we had been duped into taking and using it on our return flight, it was just a plain no. Useless customer service, how hard is it to go onto a computer and cancel my 2 kids extra luggage and transfer it to me and my wife&#39;s return flight. It feels like they are basically stealing from you. Unprofessional, terrible customer service and a website that is dishonest. I&#39;ll never give them my business again"
2,Long gone the days I used to like&#8230;,"Long gone the days I used to like AirAsia, I ve been flying with them from the very early days. Here s why my rating so low:<br /><br />1- booking process: poor and unclear<br />2-AVA please take down this useless thing<br />3-Hidden charges when booking abound and I have seen charges added without me selecting them. (i.e seat choice)<br />4-Seats, getting narrower and narrower<br />5-At the airport more often than not many ATMs are down and rarely all working, leading to time loss<br /><br />Unless sorted, I think AirAsia will continue bleeding customers."
1,watch the terms and condition if you&#8230;,watch the terms and condition if you get a credit. impossible to arrange a new flight.
5,5 stars for the price,5 stars for the price. Everything else sucks.
1,Budget airline,"Budget airline. Booked premium flatbed. No dedicated check in and no priority boarding as promised when paying extra. Also no Air Asia big loyalty points except from Malaysian ports. Told by customer service should be credited, wait 3 weeks for it to occur. Does not occur, told IT issues and backlog, wait another 4 weeks, still no points, told will definitely fix problem and wait another 4 weeks. Still no correction. Then told it is now more than 3 months since flights and can no longer be corrected. No one takes responsibility and customer service will just give you the run around till they can quote a loophole in their policies. Also cannot directly speak with anyone except social media and then you are ignored. Service in flight also minimal even in premium flatbed, flights delayed but bed does lie flat and more comfortable than in economy but not sure worth it with all the bad service."
4,thanks&#8230;to the ground stuff of Air Asia Makassar,"I would like to offer my sincere thanks to Airasia ground staff working at Makassar Airport especially the station manager Mr Jumadil. Few weeks ago, I had some issues with my baggage because the company I bought my flight ticket online (kiwi) did not purchase it for me with Airasia. So the latest request that I pay again for my luggage, the only problem I couldn&#8217;t cause my credit card wasn&#8217;t working and I didn&#8217;t have enough money with me. So, I was in a bit of jumble there. <br />Crazy as its seems the two companies don&#8217;t have any means to communicate even though millions of people must use both their services to fly all around Asia. Anyway, the ground staff of Airasia and Mr. Jumadil especially helped me offering an internet connexion, food; water and comfort untill my issue got solved. I really appreciated their help and humanity, which have become rare lately. So thank you again from the bottom of my heart"
1,I have bad experience with Airasia&#8230;,"I have bad experience with Airasia crew, their service is not really good although they are budget airlines but this doesn&#39;t mean we should be treated with unfriendly service either. And I see something  today in Instagram, the Airasia pilot was taking Medical Certificate (MC) leave just to celebrate birthday with his friends?! Pilot is paid with high salary not for their knowledge &amp; flying skill but also the responsibility. How could a pilot apply MC just for a birthday celebration and next day he went to bicycle shop to test new bicycle. I have print screen the photos as proof if Airasia team you such info for discipline action. <br /><br />Airasia team, I wish you will look into this and get this improved. The pilot should apply annual leave for his personal matter instead of medical leave, this is about ATTITUDE &amp; PERSONALITY problem. Although Airasia is budget airline but we do not want to take risk of our life either."
1,hands down the worst airline ever,hands down the worst airline ever. they charge you 4 to 5 times the price for everything. food is aweful. super expensive flight and anything over and above just the ticket is chargeable. frauds of the first order. They switch off the AC during takeoff and landing like a little taxi in traffic. Unfriendly and totally useless ground staff.
1,Terrible.,"Terrible.<br /><br />Flight delayed 5 hours at the last minute with no warning.<br /><br />No compensation, no refreshments, nothing. Just left to hang around the airport for 5 hours.<br /><br />Was told the reason was &quot;the flight arrived late&quot;."
1,"Special assistance, my foot! Literally!!","I have a damaged ankle, and can&#39;t walk more than a few steps at a time on crutches. I booked a Kuala Lumpur to Delhi flight, with special assistance service, for Mar 27 2019 @ 7pm from KLIA2.<br /><br />I called up Air Asia call center, and was told the following:<br /><br />Wheelchair will be available only at the check-in counter for my flight<br /><br />If I can&#39;t walk, then I should have come with someone(as if that someone will carry me physically inside. absurd!)<br /><br />From the KLIA2 taxi drop off point, to the departure terminal, is the food/shopping area that is maybe 50 meters or so. Those were the longest 50 meters of my life! It took me 20+ minutes to get across those 50 meters to reach the departure hall, get to counter Y for my flight, only to be told that I will have to get to counter V for wheelchair assistance(and NO, WE CAN&#39;T GET THE WHEELCHAIR HERE TO THIS COUNTER!)<br /><br />Naturally, I filled out a complaint form after catching my breath, on their website (there, can&#39;t even say the airline name anymore without getting upset), to which I got a scripted robotic response, followed by closure of my complaint ticket.<br /><br />I think the last time I went through such a physically and mentally exhaustive ordeal was a self-inflicted one, where I decided to go on a mountain trek of 7KMs in the upper reaches of the Himalyas. The pure torture of hobbling on two crutches across a total distance of ~100 meters was severely compounded by robotic responses and rude behavior of the staff."
2,AirAsia should change their slogan from&#8230;,AirAsia should change their slogan from &quot;Now Everyone Can Fly&quot; too &quot;Now Everyone Can Fly On A Terrible Airline&quot;
1,Very rude and unfriendly staff who have&#8230;,"Very rude and unfriendly staff who have no courtesy. Had a very bad experience at the bengaluru airport. Was travelling with a friend and two kids. Was late to the gate as we were in the washroom. We missed our flight as we were not allowed to board. That&#39;s not my pain. My pain is the attitude and the mismanagement of The manager Athira kishore and her colleague. And the inconvenience they caused us. They were very rude and unfriendly. And did not guide us at all, rather they just walked out on us. With two kids we were cluelessly standing trying to get pass security and get to the other side to book tickets. They just abandoned us on the airport rather than guiding us out. We were running around the airport trying to find them with kids hanging around our neck as the security guy told us that one staff has to guide us out. Very pathetic behavior. We are not slaves or beggars to go around looking for them. It was their job to guide us out. They took our boarding pass as well and didn&#39;t give them back. The boarding pass were required at the security check with a staff and their signatures to get out.And when we complained on the feedback form about them. THEY LIED saying they offered us the next flight with no charges. Horrible horrible experience. Never taking this airline again. My friend has a special child who is 3 who can&#39;t even sit properly on his own. She had to carry him around running around the airport because of these ladies. This is very unethical behavior on the part of AirAsia. Very very disappointed. Where the world is moving forward in women safety AirAsia is going 10 steps backwards because of such people who left two women with kids on the airport on their own."
2,It even a glass of water,"Wasn&#39;t able to check in online although they invited me to do so, send they just check everyone in regardless so how do they know how full the flight is. The queues were longest we&#39;d ever experienced, one hour to do what was basically a bag drop, never saw a safety briefing, no announcements, no landing cards given out, not even a drink of water offered but it can&#39;t be all bad as we were on time and they didn&#39;t lose my case"
1,NEVER EVER FLY AIRASIA!,"NEVER EVER FLY AIRASIA!<br />A REAL CON BY FAT TONY !!<br /><br />1. unwarranted delay for DNG - KUL route<br />(causing me to miss my connecting Flight)<br /><br />2. was forced to purchase new Ticket for KUL - KCH route<br />(AirAsia Staff at DNG Airport assured I would be compensated - refunded for purchasing new Ticket)  <br /><br />3. was advised by AirAsia Staff at DNG Airport that Refunds would take up to 3 months to be made<br /><br />4. after 5 months, no Refund has been made.<br /><br />5. checked on AirAsia online and engaged with Mumeenah via LiveChat<br /><br />6. Mumeenah provided FULL OF S@%T explanations, asking for all Emails by AirAsia etc. and I could not forward Emails to her, instead had to screen shot - a delay approach intentionally to loose all information within a stipulated timeframe on LiveChat<br /><br />7. disconnected with Mumeenah and after &#39;sometime&#39; connected back<br /><br />8. now cant upload the screenshot onto LiveChat - technical problem<br /><br />9. &quot;Mumeenah N: okay let me send the request file to you again&quot;. &quot;The agent has cancelled the file transfer request&quot;.<br /><br />After 8 times of sending the screenshot to her, she claimed to have received nothing.<br /><br />Realized AirAsia is FULL OF S@%T and NEVER AGAIN on AirAsia!!<br /><br />...determined to make an effort to spread the word on such unscrupulous Airlines ripping-off its clients.<br /><br />Hope to meet Fat Tony one day!"
1,Do yourself a favour and do not engage with this airline,"What I have experienced is the failing IT system, the unempthatic customer service and the lack of desire to regain customer trust.<br /><br />I have booked a flight to Narita with Air Asia X from Jakarta. Five months prior to the flight my booking was cancelled and planned for full refund. The cancellation of flight with such advance notice is acceptable due to flight reshuffling etc. What follows through had made me lost trust in this airline and I shalladvocate other passengers to fly other budget airlines. <br /><br />1. I opted for full refund to my bank account which was not acknowledged. I had to contact the customer service officer two times. (1hr wait each) for them to give me a confirmation of my decision. <br />2. The waiting for the refund went on for 3 months and I had to actively ask them on the status of the refund. <br />3. The original date of my departure passed, 5 months have gone and I have yet to receive my full refund.<br />4.  Email came two times in a span of two months staying that the money had been transferred to the account. No transfer registered in my bank account. I have performed due diligence (bank account and name are correct). There was no explanation offered by Air Asia.<br />5. Now close to a year since I made the booking I have yet to receive my full refund. Received an email where they offer an 150 percent credit of the refund amount. I feel flabbergasted they have the confidence that I will actually fly with Air Asia again. I respectfully asked for 150 percent of my refund amount to my bank account for all the inconvenience and the same sign of good will stemmed from the credit offer. <br />6. My case was prematurely closed by the customer officer even though I did not response to their explanation. This reply and close method is unacceptable and demonstrated that the customer service needs serious reorganisation.<br /><br />If Air Asia knows the concept of inflation, they returning my money a year later, will result in lower value compared to a year earlier. I find it extremely disappointing Air Asia did not possess the capability to expedite their own process for an planned cancellation such as this. Their failure to offer a appropriate compensation for the great inconvenience to me did not surmount to their claim as the best budget airline. <br /><br />This review alone will not make an impact to such a large corporation. I vow not to fly Air Asia no matter how attractive the offer is and to spread this experience to anyone is considering to fly with Air Asia. <br /><br />Best regards<br />Hardi Njo"
1,AIRASIA AGENTS DO NOT TELL THE TRUTH,"I booked flights for travel with Airasia through OPODO (NEVER USE THEM EITHER) and they made a mistake in the names on the tickets. I eventually had to deal directly with Airasia and they told me that Higher Management had approved a full refund if I rebooked the same flights again and once I had the reservation number I could come back to them and they would issue a full refund.  I did this on 20th February at a cost of AUD2439.90 (having already paid over Euro1200 in January.  I am still waiting for this promised refund.  I have been on their live chat several times and having raised a further complaint, have now been advised that I can have travel credit which has to be used in 90 days!! I live in Ireland so this is not acceptable.  I would NOT HAVE REBOOKED these flights if I had not been promised a full refund and would have reverted to OPODO to sort out the matter as they made the mistake.  Customer Service in Airasia is apalling.  They do not tell the truth"
1,DONT TRUST fake airline and customer&#8230;,"DONT TRUST fake airline and customer supports .<br /><br />SUCH LOOSER . AND PATHETIC SERVICE PROVIDER AMONG THE ALL AIRLINE .<br /><br />due to your system server fault I am facing some serious issues which caused me to loss a huge amount and cause me to serious mental trauma,<br /><br />while I am booking my trip of 3 members from prune to Bangalore one of the guest name is replicate on the ticket twice .when I asked to rectifier it the customer care support told me that guest name which was by mistakenly replicate through server .we will refund it 100% of ticket value to you<br /><br />now they are refusing to do . Here is your case number for reference:<br />pnrno - zp7wxi<br />CHAT NO .11616983 . U CAN LISTEN the customer support recording voice . hence this call is recording . hope soon my issue will resolve, ."
3,Overall airport review,"As a Malaysian , I would like to suggest that our country need various improvements to establish a better impression to foreign tourists visiting our country.  With these improvements , this will definitely boost to attract more foreign tourists to visit our country. Base on my observation , I found that directory signboards are only written in Bahasa Malaysia and Bahasa Inggeris, since there are many tourists from various countries such as Japan, China and Korea who might not be well versed in Bahasa Inggeris and of course Bahasa Malaysia,  thus one of the improvements is to include foreign languages of the Japanese, korean and Chinese in the directory signboard.<br /><br />Secondly, I had observed another issue that improvement  can be made is the attitude of the custom officers. Below is one of the case which I had Personally observed :  I noticed that  majority of the officers on duty are being so restless and impatient,  when there was a Japanese tourist asking for the direction to carry out  custom check, because  he could  not understand the languages on the directory signboard, the custom officer replied to him rudely and showed to the tourist the direction with a very impolite and impatient attitude. <br /><br />In addition, I found that there is no officer to guide the tourists along the way from where their flight is landed until where they shall collect the baggages.  Even worse, the baggage claim area was so crowded and messy as the people were not queuing properly to collect their own baggages. There were no officers on duty to give instruction and assist  the people and to make sure that they do not cross the yellow line while waiting for their baggages. It was just like pandemonium!  <br /><br />Apart from that, the baggages to be collected from the the conveyor belt were so badly thrown and good order, many people could not collect their baggage smoothly and they were forced to pull their baggages from the conveyor belt. This was definitely causing damages to the other baggages, for example scratching the other baggages. I am not sure about the reasons to this issue but I strongly suggest that strict while polite officers shall be placed to help out the situation.<br />Lastly, I definitely  hope that Malaysia airports can take these issues seriously, and seek for improvements soonest possible so that the foreign tourists can have good experience either visiting or flying back home from our country&#8217;s airports."
1,I just flew from hyderabad to sydney on&#8230;,I just flew from hyderabad to sydney on March 2 under booking code 56442148 - Matthew Heidema. I learned on the day that I had no baggage paid for and the desk man said it would cost 20000 rupees for my 20kg bag. I said let me unload some stuff and reorganize which i did - got it down to 15kg for which he said he&#39;d charge 10353 rupees. This still seemed very expensive to me so i looked online to find what the regular price would be and couldn&#39;t find anything quoted. Then i phoned customer service to investigate further and learned that the man had charged me for 18kg worth of luggage and that i only should have had to pay between 4000 and 5000 rupees - half this amount but there was nothing she could do about it and directed me to something called ava. I need someone to help me with this because I feel completely ripped off and lied to by this guy in hyderabad.  Still don&#39;t know who to talk to
1,Customer care and service recovery - in shambles!!,"I have flown AirAsia on many Asian holidays over the years. For a low cost carrier, it generally gets you there safe and happy. However 9 out of 10 flights they ALWAYS delay/change/reschedule flights. <br /><br />I have a booking for Easter 2019 from SYD-Phuket. On 18 Feb 2019 they informed me that my homebound flight had been cancelled by the airline. New flights delayed us by 28 hours getting home. I was told any change/ refund requests were to go through their online system. This is where the saga starts (and is still continuing)...<br /><br />1)  Once the online forms are submitted, AirAsia gets 7 working days to reply. They will not even read your request, it&#8217;s a pure cut and paste template requesting more info. That&#8217;s usually day 4. If you reply back to that email, you&#8217;ll get a reply from AirAsia (meaning they did get the email!) but that the &#8220;care team&#8221; could not be reached. Day 5-6, air Asia sends you an email to say they will &#8220;close the case due to no response&#8221;. So, not only are your requests totally ignored but you get standardised templated responses, you also endlessly get your emails &#8220;closed&#8221;. <br /><br />2) when following up on the phone with customer care, they are polite but have zero authority to help. All they do is &#8220;escalate&#8221; your request to &#8220;the correct department&#8221;. So you re-start a new 7 day wait!! Whereupon they will send you a nice reply requesting reconfirmation of passenger names and more info required!! <br /><br />3) being smart I saved every correspondence and pdf the entire saga. Then back onto the online form to REPLY to them about their info requirements, the bank account details they want to reconfirm for a refund. I get a reply with a &#8220;new case number&#8221;. Day 4, I get a &#8220;we are closing this case soon &#8220;due to no reply&#8221;. And so the calls and emails continue again!!! <br /><br />15 days later, 4 phone calls, 8 emails, and yet, AirAsia has dragged out a simple case into a customer care saga!!! They have a huge lack of understanding how to treat customers. Their IT system is in shambles. Their customer service staff have no authority beyond taking phone calls and passing your message along. <br /><br />Wake up, AirAsia! How can you run a business with totally lack of customer care!!"
1,"Totally Incompetent and at Fault, Ignoring All Your Requests","Very first time I used AirAsia for my 10 year anniversary break around Asia.<br />1. They cancelled/retired a flight and put me on the next flight.<br />2. Due to transfers, this did not work, I requested it to be changed to the earlier flight.<br />3. Customer support by email, AirAsia webpage and Twitter were a disgrace. Most times they didnt listen.  If they responded about doing stuff, they didnt do it.<br />4. After 20 days, having wasted enough time, I requested a full refund which I am entitled to.  They ignored this request and instead rescheduled the flights and completely the wrong flights.  I have given up on this and they have no idea what they are doing.<br /><br />Most times it might be ok, but any unexpected changes happen, then expect hell.  Save yourself stress, go for another airline.  Not worth it."
1,!FRAUDSTERS: If it would be in EU it would be FRAUDULENT TRADE PRACTICES with penalties up to 10% of annual sales!!,"(Suppoprt case 10706024)<br /><br />I have a flight 24.02.2019,and I wanted to change the date of this fight.<br /><br />I tried to do it on 20.02.2019 and 21.02.2019 in AirAsia mobile application, it retruned unspecified ERROR for modification of my booking.<br /><br />I trie dto do it on the website - I was changed exactly same flights, exactly same airports, the system returned the error message:<br /><br />&quot;Due to the airport code change, please be aware that there may be fare discrepancies when you change  flights. To process these changes please contact our live chat agents, lodge your request through our online form or contact your local call center. Apologies for any inconvenience caused, thank you!&quot;<br />- that is complete NON-SENSE as &quot;airport codes&quot;have not been changed in any manner.<br /><br />So, I followed instructions form the last error message, and contacte dtheir Live Chat Agent.<br /><br />Agent Nr. 1 was really dumb, and, albeit I booked my flight with BIG Member discount, and my booking shows also under my BIG Profile, he said that my booking wa snot linked to my BIG profile, he allegedly &quot;repaired it&quot;, and it was the reason why I wasnot able to modify my booking online, and now I should be able to proceed ))<br /><br />Of course, it didnt work, and the system returned an exactly the same error message.<br />SO I JUST WASTED MY TIME ON COMMUNICATION WITH THE DUMB AGENT NR.1.<br /><br />I contacted Live Chat Agent Nr.2 - after heraing what the matter is, he just hang up.<br />SO I JUST WASTED MY TIME ON COMMUNICATION WITH THE DUMB AGENT NR.2.<br /><br />Then I contacted Live Chat Agent Nr. 3, who told me:<br />- the problem is with AirAsia IT systems, that is why I am unable to modify my booking myself.<br />- I should visit in person AirAsia sales office or authorised agent and make change of date booking with them;<br />( impplying the error message above is wrog itself not only about &quot;changing airport codes&quot; (WHAT A JOKE! :D ) but also about being able under these circumstances to modify my booking via live chat agent or phone agent channels).<br /><br />I responded that it is BS - I am not now at a location where AirAsia has a sales office or even authroized agen, and will not be for a quite time; when I booked online I relied that I will be able to cahnge a date if flight remotedly also, without a need of in person visiting AirAsia or its agent premises; it is a fault of AirAsia - IT system not working so taht I am unable to modify the booking myself, also IT system not working so that Live Agent is unable to do that as well; more over so much smelling garbage of simply wrog and misleading announcements and feedback from AirAsia.<br /><br />They are actually are putting obstacles into exercising my rights to change a date of flight - that is , if it would be in EU or Australia 0 but also according to MALAYSIA LAW ALSO, putting all kinds of obstacles to negatively affect lawful consumer&#39;s exercising of its rights consitutues so called Unfair Trade Parctices, that is punishable in amny EU countries up to 10% of annaul sales penalty ( and authorities do charge such penalties).<br /><br />Live Agent Nr.3 responded to me that I will be contacted to my Gmail , citing, correctly, few times my email adress, to perform my requested change of dates of my flight.&#39;<br /><br />I told her, that if they are unable to execute a change of dates for my flight remotedly, as absence of such mode is PURE FAILURE OF AIR ASIA, then let they refund me. Same goes that I should not incur some extra expenses becuas eof modifying my boooking not online, or because the fare (which I screenshoted) to which  I wanted to swap for the new dates, is not anymore available.<br /><br />GUESS?<br /><br />NO EMAIL THEY SEND ME, OF COURSE!!!! - PURE LIES THAT THEY WOULD SEND.<br /><br />My flights depart around 06:00 on 24.02.2019.<br /><br />When today, after I woke up and had a breakfast, I tried to access again modification of my booking option online, may be it is working ( but can&#39;t know for sure, as ERROR message appeared AFTER I chose a desired new flight date and times, and press proceed button) BUT I was told that my flight Fare Rules not allow me to change flight date less than 48 hours before the flight.<br /><br />( On separate note, I was trying yesterday, to establish details of my Fare Rules - and GUESS! - it is NOWHERE CAN EB FOUND!!! - neither you have it online - as all other airlines, when you open booking you can access, nor I ahve it in my confirmation email; also I tried to establsih fare rules for  a particular itinerary - AirAsia website offer such theroretical option, but ALAS! when you try to use it, enetreing an airport of origin and detsination, it say ERROR ERROR :D)<br /><br />So,<br /><br />1. AirAsia failed with their IT systems, as online, in mobile app DIY mofification of dates, to which I am eligible, were not available .<br />2. AirAsia failed with their IT systems as such modifictaion were not available also via Live Chat Agents or by phone ( as per Live Chat Agent Nr.3 communication).<br />3. Air Asia failed to resolve my problem about my initially sought modification of dates , and even more AirAsia grossly and greatly failed to keep up with its own promises - to contact me by an email yesterday to make the change of dates of the said booking.<br />4. AirAsia practicised Unfair Trade Practices , also under Malaysian Consumer Protection law ( will atke a lok how to complain aboput it to authorties..)<br />5. I am now with a ticket with old date, AirAsia systems says I am now behind a 48 hours of rescheduling flight ( yes, I waited for tehir email, and at 6:15 this mrning I stul had  sweet dreams - not my job to wake uo 4AM to check once again if email arrived ( yesterday we had a chat with Live Agent Nr. 3 around 13:00..) or try to execute modification myself).<br /><br />I WANT REFUND, I DONT WANT TO FY ANYMORE WITH AIRASIA TO FUND SALARIES OF THESE UNPROFESSIONAL BARINLESS PEOPLE.<br /><br />I book my flight same itinerary with other airline to allow funding of unprofesionalism and dumbness.<br /><br />And yes, of course, I have made screenshot of those chats with Live Agent to publish later as an anecdote)"
1,Cheap And Nasty,"Using their website to manage any stage of your booking could seriously shorten your life. It&#39;s badly (or perhaps very well) designed to frustrate you whether it&#39;s checking in/printing boarding pass/sending the barcode to your phone/modifying your booking.. etc, etc. And at the airport, as you&#39;re left with no choice but to print your boarding cards from one of their kiosks, that is another level of pain altogether. As a &quot;cheap&quot; airline with very few competitors in that region, they have become very inefficient and arrogant. Make them your Hobson&#39;s choice."
1,worst service in my life,"During Chinese new year, my parents  booked a ticket  back to Johor, when we booked the ticket the time shown for the flight is 7.15am.When we went to the airport , we realized that the time for the flight change to 7.00am.They did not informed us, so we quickly went to the self check-in machine and check in .The machine show that we cant check-in anymore because  we must check-in 1hour before the time for the flight. The time was 6.20 am when we reach the customers service for Airasia, The girl at the counter tell us we must check in 45 min  before <br />the flight, we explained to her about that they did not informed us about the change of time,and ask can she help us. She  rejected us and she doesn&#39;t want to help ,she say is our problem did not arrived on time. But the problem is the plane just started boarding, is possible to board the plane on time.  After a few min, she call the air stewardess.After the call ,she told us we are not able to check-in.My mum beg her and she still refuse to try to call again. In the end, we miss the flight and my parents are not able to have dinner with grandma ,if we will able the check-in when the time we ask her, we will not miss the flight and waste our money."
3,Shanghai - Manila 2018 (twice),"Have used it to fly Shanghai - Manila return. The actual flight was ok and not delayed, which is something that happens in China quite a lot. Booking a ticket using the official website is difficult due to the fact the site does not seem to work properly, so I used a different one instead - Trip.com which does. Service on board the aircraft was OK although the air stewards do not miss an opportunity to make a quick buck when it comes to selling things to passengers.<br /><br />The check in at Manila is good with e-check boarding pass printer in that actually works and saves an awful amount of time if no check in luggage to put on the plane. However the check in at Shanghai Pudong is typically Chinese and tedious as they do not allow online check in so have to line up even if just one carry on bag. The check in staff at Pudong are also typically cold and unfriendly (as is most of the airport actually). <br /><br />You get what you pay for but this budget airline is not too bad and the Manila check in was a nice hassle free experience."
1,Low quality airline AIRASIA,"Nevery trust upon this low cost  rather low quality airlines. My baggage has been missing for last one year and the only support I receive from the airlines is an email once in a Blue moon asking me if I have received my missing luggage. Perhaps the staff in the concerned department is either illiterate  or sort of blind  If The missing luggage had been delivered  to me, it must of been got signed from me. Then, what is  the strategy behind sending emails with asking such question?"
4,Content to fly Air Asia,"I realise I may just be lucky but am a happy customer.First the bad .... have only had a couple of issues in several years of flying multiple flights with Air Asia.<br />  Recently at KUL I was turned back at the security gate  for having a laptop and a backpack weighing more than 7 kg <br />I was unaware of this and was very annoyed but was early and could put my carryon case into checkin again for no extra charge and the checkin staff were sympathetic.I also was not able to book a fly through ticket from Suratthani to Sydney and lost my premium free lounge pass because I couldn&#8217;t exit and re enter at KUL without <br />checkin in again ..still confused on that one.<br />To my horror Air Asia have ceased their partnership with Optiontown which previously got me great seat and flattish bed options for a very low cost.<br />Very sad to see KUL to Suratthani route has been axed .<br />However ,I have never been delayed on Air Asia (!!) unlike Jetstar and Qantas.<br />The FAs are young and cheerful and good value.<br />The self booking site is tricky the first time but practise makes perfect.<br />Quiet zone ie no kids is a boon.<br />The routes are great; the food is ok on Thai Air Asia in particular.<br />Planes are clean ,a little bumpy at times being smaller A320s.<br />The big plus is a flythru ticket early in the morning gets you out of the melee of DMK airport immigration and into a transit lounge with your own designated immigration official to stamp your passport !!<br />All in all will keep flying them happily"
1,They deserve 0 star,They deserve 0 star. Their website is faulty and unstable yet they refused to admit their mistakes and made consumer pay for their shortfalls. Took 1 month to respond to my case and was not helpful at all when I finally received a respond. They will be my last option as a flight service provider.
1,Budget to the max,"They email you to show up 4 hours prior to flight. Once I arrived, I asked to get on an earlier flight, and was told only if my flight was delayed. Well guess what... 2 hour flight delay plus 1 hour sitting on the tarmac. Asked for a water and was told 50 peso&#8217;s. You would think at least a complimentary water would be offered at this point."
1,The worst airlines ever....too&#8230;,The worst airlines ever....too slow...too urorganized....all flights of all times to all destinations on one counter...you must be in thr airport 5 hours perior to your flight departure...they made me miss my flight for 6 mins late because they intend to be very slow and when I suggested to fly and ship my baggage in the next flight they refused and forced me to buy a new ticket from KL to Langkawi...non respectful company...last time I fly on airasia
5,"Quick, online, perfect...","Nowadays I like to give credit as soon as I see something good happening. It is so easy to criticise everything, that I am trying a different, more positive approach...<br />I made a name mistake one of the 3 bookings I just did with AirAsia. I immediately contact them via their automated chat, got through to a real person (but still via automated chat), and resolved the issue in less than 5 minutes. No questions, no phone calls, nothing. The way customer service should be in 2019. Thanks AirAsia"
1,Don&#8217;t Bother,Customer service? Non existent.  Value for money? Smoke and mirrors.  Better options available? You bet!
1,Bad customer service experience,"Hi, <br /><br />I am posting a review here with the hope that a representative from AirAsia will handle my case.<br /><br />Please refer to the case ID 08721730 and 08721344<br /><br />Briefly, AirAsia delayed and rescheduled the flight from Kota Kinabalu to Singapore from 26 Nov to 27 Nov. I am hoping to claim some direct incidental costs from AirAsia.<br /><br />I previously submitted my case twice but unfortunately and frustratingly, AirAsia failed to respond at all. I made a follow up call last night, surprisingly, the agent said AirAsia &quot;closed&quot; my case. I was extremely shocked - AirAsia did not even attempt to contact me before unilaterally decided closing my case, not even mentioning the accountability on the serious flight delay.<br /><br />I am a regular customer, but now I have very little confidence on how AirAsia handles the customer service. <br /><br />Appreciate if someone can assist with this and take actions! <br /><br />Thank you,<br />CT"
1,Terrible airline will never fly again&#8230;,Terrible airline will never fly again constantly change their flight times unreliable airline company
1,Useless Customer Service,"Air Asia cancelled two of my flights to/from Indonesia, and it took me weeks, several online &quot;forms&quot; and eventually a visit to an Air Asia office at Don Mueang Airport in Bangkok before they put me on alternative flights. &quot;Online Chat&quot; was always busy and unobtainable.<br /><br />That was in November. I now find that a December 18 flight from Kuala Lumpur to Kathmandu (and back in January) was cancelled, WITHOUT NOTIFICATION, in August. The result meant I only found out at KLIA2 airport on December 18. My refund claim is in but given past experience, I doubt it will be resolved without my visiting an Air Asia office again.<br /><br /><br />UPDATE 30/12/18: Air Asia refunded my money yesterday, 11 days after I applied for it, so fair play on that score. HOWEVER, if they had acted properly in the first place, and told me that they had cancelled my return flights in August, I could have made other arrangements, and not wasted time and money going to Kuala Lumpur. So the star-rating remains unchanged. A shambles..."
3,&quot;....Dear Air Asia India,"&quot;....Dear Air Asia India, <br />I am Naveen Kumar and i am a regular domestic traveler .I would like to express my appreciation and thankfulness to the staff of Air Asia I5- 773 coming from Delhi to Goa on 19 Dec 2018. I suddenly got Cold and headaches in the flight and the flight attendants ( specially Miss Deepika) helped us giving the medicine, I am very thankful to you for the much needed help you have provided to us. I will definitely fly with Air Asia India in the future also. <br />Suggestion -<br />Please improve your customer care training system ( for more feedback@call on my number  Mob: +91- 9049346435)"
5,Ground Staff at Kolkata Airport(Mr.Sutanu Banerjee),"I5 1563: 31/DEC/2018: CCU - BBI ( 1955 - 2105 HRS) <br />PNR:OMRKFI<br />Ground Staff at counter no: 5 / 6, Mr Sutanu Banerjee<br />the welcome &amp; hospitality was very very good.<br />Appreciate his service."
